Sr No.,Title,SLUG,Short_Desc,Description,Images,Product_Type,Tags,Sku,Sale Price,Mrp,Meta_Barcode,Meta_title,Meta_description,Status
1.0,Trunext Moroccan Argan Oil (200 ml),trunext-moroccan-argan-oil-200-ml,100% Organic Moroccan Argan Oil is a daily support formula for skin. It restore skin brightness and shine your nature skin. Moroccan Argan Oil helps reduce redness and skin irritation with its anti-aging properties. A non-comedogenic facial oil that is not too oily on the skin.,Trunext Moroccan Argan oil to treat skin diseases and as a cosmetic oil for skin and hair. Pure Argan oil may contain some sediment. This is a natural part of the production process and does not affect quality. Argan Oil is full of essential fatty acids and vitamins. ,https://www.dropbox.com/sh/x9llnfivqax3zuy/AAA67LW21mf58St5Bc_pB1sHa?dl=0,OIL,"Moroccan Argan Oil, Pure oil, oil for skin",Oil Moroccan 200,339.0,599.0,5299753632445.0,"Trunext 100% Pure, Organic Moroccan Argan Oil",100% Organic Moroccan Argan Oil is a daily support formula for skin. It restore skin brightness and shine your nature skin. Moroccan Argan Oil helps reduce redness and skin irritation with its anti-aging properties. A non-comedogenic facial oil that is not too oily on the skin.,Active
2.0,Trunext Onion Black Seed Oil (200 ml),trunext-onion-black-seed-oil-200-ml,"100% Natural Trunext Onion Black Seed Oil that helps to control hair and scalp problems. Onion Black seed oil helps control hair fall, control dandruff, increase strength and gives shiny look to your hair.","100% natural Onion Black Seed Oil. Carefully crafted with organic ingredients, this hair oil is rich in sulphur which is indeed a miraculous ingredient for hair growth. It helps improve the texture of your hair, prevents pre-mature graying and accelerates the hair to increase.",https://www.dropbox.com/sh/r9c5stbbdtrnrnl/AABXHvlNMENmy88wnQp7qNtRa?dl=0,OIL,"Black Seed Oil, Onion Black Seed Oil, Onion oil, hair oil",Oil Onion 200,339.0,699.0,5299753632414.0,Trunext 100% Organic Onion Black Seed Oil,"100% Natural Trunext Onion Black Seed Oil that helps to control hair and scalp problems. Onion Black seed oil helps control hair fall control dandruff, increase strength and gave shiny look to your hair.",Active
3.0,Trunext Natural Aloe Vera Coconut Oil (200 ml),trunext-natural-aloe-vera-coconut-oil-200-ml,"100% Pure Natural aloe vera coconut oil that helps to prevent itching and irritation of hair. Make your hair irresistibly soft with Trunext Aloe Vera Coconut Hair Oil, which has never seen before combination of miracle plant Aloe Vera with Coconut oil","Use of Trunext Aloe Vera Coconut oil is very simple take oil depending upon your hair volume and massage on scalp, leave it for some time and wash with shampoo, it gives your hair the love that they deserves.",https://www.dropbox.com/sh/ealp47q5x9g6u6j/AAAjZxfDmtWFFlHXuEgSFeBGa?dl=0,OIL,"Aloe Vera Oil, Aloe Vera Coconut Oil, Coconut oil, Hair oil",Oil Aloe Vera 200,329.0,699.0,5299753632438.0,Trunext 100% Organic Onion Black Seed Oil,"100% Pure Natural aloe vera coconut oil that helps to prevent itching and irritation of hair. Make your hair irresistibly soft with Trunext Aloe Vera Coconut Hair Oil, which has the never seen before combination of miracle plant Aloe Vera Coconut oil",Active
4.0,Goodness Of 11 Oils (200 ml),goodness-of-11-oils-200-ml,"Trunext Goodness of 11 oils is made with blend of many natural ingredients like Olive oil, avocado, and many more that helps to repair split ends and stimulates hair growth. It's the best natural hair oil for healthy smooth hair.","Trunext Goodness of 11 oils specially formulated with natural elements like olive oil, avocado, almond oil, and many more combined to give your hair thr best natural look. It help to repair split ends and and stimulates hair growth.",https://www.dropbox.com/sh/0ydn03a7v96qdpu/AABKs858heyAXyO9NPVuXH7ba?dl=0,OIL,"Goodness of 11 Oils, Hair Oil, Natural Oil",Oil Goodness 200,299.0,699.0,5299753632452.0,Trunext Goodness of 11 Oils,"Trunext Goodness of 11 oils is made with blend of many natural ingredients like Olive oil, avocado, and many more that helps to repair split ends and stimulates hair growth. It's the best natural hair oil for healthy smooth hair.",Active
5.0,Trunext Castor Oil (200 ml),trunext-castor-oil-200-ml,"Trunext Castor Oil is made with best ingredient to enrich the hair follicles, It prevent hair breakage and hair fall and accelearting hair growth.  It take best care of hair follicles and make soft, smooth and shiny hair. It repairs hair cuticle.","Trunext Castor Oil is made with natural ingredients that give your skin and hair the nourishment they deserve and make them healty. Take Trunext Castor Oil depending upon your hair volume. gently massage on to scalp leave it for some time, and then wash with trunext shampoo.",https://www.dropbox.com/sh/2n879fd345d9586/AADGU9KX8Ls5EU_zEX2UdSgRa?dl=0,OIL,"Castor Oil, Hair Oil, Natural Hair Oil",Oil Castor 200,265.0,699.0,5299753632421.0,Trunext Castor Oil,"Trunext Castor Oil is made with best ingredient to enrich the hair follicles, It prevent hair breakage and hair fall and accelearting hair growth.  It take best care of hair follicles and make soft, smooth and shiny hair. It repairs hair cuticle.",Active
6.0,Trunext Onion Black Seed Shampoo (300 ml),trunext-onion-black-seed-shampoo-300-ml,"Trunext Onion Black Seed Shampoo that defends your hair from falling, control hair dandruff, increase strength and gives shiny look to your hair. Onion Black Seed Shampoo is suitable for all hair types, It gently cleanses for dandruff-free hair.","Trunext Onion Black Seed Shampoo is best for boosting hair growth and reducing premature greying of hair. Wet your hair with luke warm water, pump shampoo, apply all over scalp & hair, massage it and wash with luke warm water for best results.",https://www.dropbox.com/sh/aho1gke5v7znd97/AADjTBs_xpu-AKSGNT3bSD-Oa?dl=0,SHAMPOO,"Onion Shampoo, Black Seed Shampoo, Shampoo, Hair shampoo ",Shampoo Onion 300,339.0,599.0,5299753632469.0,Trunext Onion Black Seed Shampoo ,"Trunext Onion Black Seed Shampoo that defends your hair from falling, control hair dandruff increase strength and gave shiny look to your hair. Onion Black Seed Shampoo is suitable for all hair types, It gently cleanses for dandruff-free hair.",Active
7.0,Trunext 100% Natural Coconut Avocado Shampoo (300 ml),trunext-100-natural-coconut-avocado-shampoo-300-ml,"100% Pure Natural Coconut Avocado Shampoo that Tranforms your thining hair into a thick and glossy one. It reduce hair fall and boosts circulation of the hair roots and strengthen hair roots, It prevents hair loss and ensures your hair look and feels much softer.","Trunext Coconut Avocado Shampoo that leaves your hair feeling moisturized, glowing and soft, the use of Coconut Avocado Shampoo is very easy, just Wet your hair with luke warm water, pump shampoo, apply all over scalp & hair, massage it and wash with luke warm water for natural looking hair. It increases hair volume and prevents premature greying.",https://www.dropbox.com/sh/l65icltk3lnl2q7/AAAsg9Q2b45P2V4S6MGFaftVa?dl=0,SHAMPOO,"Natural  Shampoo, Coconut Shampoo, Coconut Avocado Shampoo, Hair shampoo",Conditioner Coconut 300,319.0,599.0,5299753632476.0,Trunext 100% Natural Coconut Avocado Shampoo,"100% Pure Natural Coconut Avocado Shampoo that Tranforms your thining hair into a thick and glossy one. It reduce hair fall and boosts circulation of the hair roots and strengthen hair roots, It prevents hair loss and ensures your hair look and feels much softer.",Active
8.0,Trunext 100% Pure  Moroccan Argan Shampoo (300 ml),trunext-100-pure-moroccan-argan-shampoo-300-ml,100% Organic Moroccan Argan Oil is a daily support formula for skin. It restore skin brightness and shine your nature skin. Moroccan Argan Oil helps reduce frizzy hair problems and gives smooth shiny hair. A non-comedogenic facial oil that is not too oily on the skin.,Trunext Moroccan Argan oil to treat skin diseases and as a cosmetic oil for skin and hair. Pure Argan oil may contain some sediment. This is a natural part of the production process and does not affect quality. Argan Oil is full of essential fatty acids and vitamins. ,https://www.dropbox.com/sh/p2p3hjfky7pqioi/AADDVwFkpm9EY_wlpJ8zcuqFa?dl=0,SHAMPOO,"Hair Shampoo, Moroccan Argan Shampoo",Conditioner Moroccan 300,339.0,599.0,5299753632490.0,Trunext 100% Pure Moroccan Argan Shampoo,"Trunext Moroccan Argan Shampoo gives bouncy strong hair it prevent hair  cutilcles damage make it shiny hair Shampoo is suitable for all hair types, It gently cleanses for dandruff-free hair.",Active
9.0,100% Pure Natural Apple Cider Vinegar Shampoo (300 ml),100-pure-natural-apple-cider-vinegar-shampoo-300-ml,"100% Pure Trunext Apple Cider Vinegar Shampoo encourages healthy hair growth, promotes hair growth, make soft, smoothy and shiny hair, retain more hair.  Apple Cider Vinegar Shampoo helping to repairs damaged scalp and prevents dandruff.","Trunext  Apple Cider Vinegar Shampoo is  efend your hair against hair fall, its ingredient that is know to prevent hair loss and helps strengthen weak and falling hair. Wet your hair with luke warm water, pump shampoo, apply all over scalp & hair, massage it and rinse it.",https://www.dropbox.com/sh/yf2zez6z1vxhkhx/AACW6ZoIpTRkrn1TKeU3mlQPa?dl=0,SHAMPOO,"Apple Shampoo, Apple Vinegar Shampoo, Vinegar Shampoo, Hair",Shampoo ACV 300,329.0,599.0,5299753632483.0,100% Pure Natural Apple Cider Vinegar Shampoo,"100% Pure Trunext Apple Cider Vinegar Shampoo encourages healthy hair growth, promotes hair growth, make soft, smoothy and shiny hair, retain more hair.  Apple Cider Vinegar Shampoo helping to repairs damaged scalp and prevents dandruff.",Active
10.0,Trunext Onion Black Seed Conditioner (300 ml),trunext-onion-black-seed-conditioner-300-ml,"Trunext Onion Black Seed Conditioner helps to prevent hair loss, treat dry and rough hair making your hair silky smoothy and shiny. It promotes healthy hair, repairs damaged hair boost your hair growth and helps to improve hair texture naturally, It is suitable for all type of hairs.","Trunext Onion Black Seed Conditioner has natural ingredients that helps tranforming your hair texture and make it shiny. This conditioners use is simple just wash your hair with Trunext shampoo then take Trunext Onion Black Seed Conditioner, apply on your hair and leave if for 2 minutes and wash with normal water.",https://www.dropbox.com/sh/w808dp006uaf85f/AAD-EJ28AlEwAVlThH3QYLeWa?dl=0,CONDITIONER,"Onion Conditioner, Hair Conditioner, Seed Conditioner ",Conditioner Onion 300,329.0,599.0,5299753632506.0,Trunext Onion Black Seed Conditioner ,"Trunext Onion Black Seed Conditioner help prevent hair loss, treat dry and rough hair making you silky smoothy and shiny. It promotes healthy hair, repairs damaged hair boost your hair growth and help to improves hair texture naturally, It is suitable for all type of hairs.",Active
